ID,NAME,TYPE,COLOR
1,HUNGARY,EUROPA,#000000
2,ISRAEL,ASIA,#000000
3,AUSTRIA,EUROPA,#000000
4,HONG-KONG,ASIA,#000000
5,PARAGUAY,SOUTH AMERICA,#000000
6,DENMARK,EUROPA,#000000
7,FINLAND,EUROPA,#000000
8,PALESTINE,ASIA,#000000
9,NEW-ZEALAND,OCEANIA,#000000
10,CROATIA,EUROPA,#000000
11,IRELAND,EUROPA,#000000
12,NORWAY,EUROPA,#000000
13,SINGAPORE,ASIA,#000000
14,THE UNITED ARAB EMIRATES,ASIA,#000000
15,JAMAICA,NORTH AMERICA,#000000
16,RUSSIA,ASIA,#000000
17,TURKEY,ASIA,#000000
18,SPAIN,EUROPA,#000000
19,CHINA,ASIA,#000000
20,INDIA,ASIA,#000000
21,THE UNITED STATES OF AMERICA,NORTH AMERICA,#000000
22,BRAZIL,SOUTH AMERICA,#000000
23,MEXICO,NORTH AMERICA,#000000
24,JAPAN,ASIA,#000000
25,THE UNITED KINGDOM,EUROPA,#000000
26,FRANCE,EUROPA,#000000
27,ITALY,EUROPA,#000000
28,SOUTH AFRICA,AFRICA,#000000
29,SOUTH KOREA,ASIA,#000000
30,GERMANY,EUROPA,#000000
31,COLOMBIA,SOUTH AMERICA,#000000
32,EGYPT,AFRICA,#000000
33,ARGENTINA,SOUTH AMERICA,#000000
34,UKRAINE,EUROPA,#000000
35,CANADA,NORTH AMERICA,#000000
36,VENEZUELA,SOUTH AMERICA,#000000
37,PERU,SOUTH AMERICA,#000000
38,EL SALVADOR,NORTH AMERICA,#000000
39,AUSTRALIA,OCEANIA,#000000
40,NIGER,AFRICA,#000000
41,ECUADOR,SOUTH AMERICA,#000000
42,CHILE,SOUTH AMERICA,#000000
43,BELGIUM,EUROPA,#000000
44,CHAD,AFRICA,#000000
45,CUBA,NORTH AMERICA,#000000
46,BOLIVIA,SOUTH AMERICA,#000000
47,GREECE,EUROPA,#000000
48,PORTUGAL,EUROPA,#000000
49,SWEDEN,EUROPA,#000000
50,SWITZERLAND,EUROPA,#000000
51,THE NETHERLANDS,EUROPA,#000000
